Name,التقنيات,الرخصة,الشعار,الكود المصدري,الوصف بالإنجليزية,الوصف بالعربية,حالة البيانات,حالة المشروع,روابط,زمن آخر تعديل,مسؤول البيانات,مفتوح المصدر,نوع المبادرة,وسوم
ArabTerm,,,,http://www.arabterm.org/,"The Technical Dictionary ARABTERM.ORG is a joint publication of the Arab League Educational, Cultural and Scientific Organization (ALECSO) and the German Federal Ministry for Economic Cooperation and Development (BMZ).


It was developed as part of a regional project financed by BMZ that the Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) has been carrying out since 2008 in collaboration with the Goethe-Institut. It is an independent project based on the measures for standardising technical Arabic terminology, which are being led by the Arabisation Coordination Bureau (BCA) in Rabat on behalf of ALECSO.


These standardisation measures are governed by the decisions made at the General Conferences on Arabisation, organised and held regularly by ALECSO, and attended by language academies and education ministers from Arab League member states. These measures also have been reflected in the 'standardised dictionary' published by ALECSO. In ARABTERM, an asterisk marks each entry that has already undergone this Arabisation process.


The Technical Dictionary ARABTERM, organised per industry sector, provides a generally accessible reference for the consistent translation of textbooks, curricula, technical manuals and other specialised texts. The first volume on automotive engineering was released in May 2010 and is available on this website to all users free of charge. Additional volumes will be added successively.


Users are encouraged to actively contribute to the dictionary. An interactive discussion forum offers you the opportunity to exchange ideas on linguistic problem areas in the various disciplines, as well as suggest new terms or more detailed definitions. These discussions and suggestions will provide the basis for an annual revision of the databank conducted by the Arab-German expert groups.",,قيد العمل 💪🏻,,,٩ نوفمبر ٢٠٢٤ ١:٢٥ ص,Omar Seifelnasr,No,,معجم
i18n,JavaScript,"Apache License 2.0, ISC License, MIT",,https://github.com/softvenue/i18n,,نبراس، هو دليل موجه إلى طلبة السنة الأولى للشعب التقنية بالجامعة، ويحتوي على أهم المصطلحات والمفردات الي يصادفها في البرنامج الدراسي خلال هذه السنة المهمة. ويحوي هذا المعجم على أزيد من 2160 مصطلح، نحاول بها أن نغطي مجالات الشعب التقنية في السنة الأولى جامعي.,قيد العمل 💪🏻,ميت ☠️,,٩ نوفمبر ٢٠٢٤ ١:٢٥ ص,Omar Seifelnasr,Yes,فريق مبادر,معجم
معجم المصطلحات التقنية العربية,Markdown,NONE ❌,,https://github.com/forabi/arabic-tech-terminology,"Arabic Technical Terminology is an open-source project that provides accurate Arabic translations for technical terms in programming and technology. It includes a glossary of English terms with Arabic equivalents, supporting translators and developers in selecting appropriate terminology. The project encourages community contributions for enhancement.",معجم المصطلحات التقنية العربية هو مشروع مفتوح المصدر يهدف إلى توفير ترجمة عربية دقيقة للمصطلحات التقنية في البرمجة والتكنولوجيا. يحتوي المعجم على قائمة بالمصطلحات الإنجليزية مع ترجماتها العربية، ويساعد المترجمين والمطورين في اختيار المصطلحات المناسبة. يشجع المشروع على المشاركة المجتمعية لتحسين المعجم.,اكتمل ✅,ميت ☠️,,٩ نوفمبر ٢٠٢٤ ٨:٣٣ م,Abd El-Rahman Bayoumi,Yes,مستندات ووثائق,"اللغة عربية, توثيقات, معجم"
نبراس هو قاموس فرنسي-عربي,"C++, TypeScript",NONE ❌,logo_(1).png,https://github.com/01walid/Nibras,"Nibras is a French-Arabic dictionary tailored for first-year university students in technical fields. The dictionary contains over 2,160 terms covering various topics in the first-year curriculum. The project aims to help Arabic-speaking students understand and absorb technical terminology more easily.","نبراس هو قاموس فرنسي-عربي مخصص لطلبة السنة الأولى في التخصصات التقنية الجامعية. يحتوي القاموس على أكثر من 2160 مصطلحًا يغطي مجالات متعددة ضمن المناهج الدراسية للسنة الأولى. يهدف المشروع إلى تسهيل فهم واستيعاب المصطلحات التقنية للطلاب الناطقين بالعربية. ",اكتمل ✅,ميت ☠️,https://nibras.sourceforge.net,٩ نوفمبر ٢٠٢٤ ٨:٣٨ م,Abd El-Rahman Bayoumi,Yes,"برنامج سطح المكتب 💻, قاموس","اللغة عربية, تعليم, معجم"
جافاسكريبت بالعربية,JavaScript,NONE ❌,76070031.png,https://github.com/javascript-in-arabic/core,"JavaScript in Arabic is an open-source library that enables Arab developers to write code using Arabic syntax in the JavaScript environment. The project provides tools for converting Arabic-written code into native JavaScript, along with localization tools to simplify coding with Arabic terms. It supports the translation of various core JavaScript functions and includes educational examples for developers to get started.",مشروع جافاسكريبت بالعربية هو مكتبة مفتوحة المصدر تهدف إلى تمكين المطورين العرب من كتابة التعليمات البرمجية باستخدام اللغة العربية في بيئة جافاسكريبت. يتيح المشروع تحويل الكود البرمجي المكتوب بالعربية إلى جافاسكريبت الأصلية، مع توفير أدوات تعريب تساعد على تسهيل البرمجة باستخدام مصطلحات عربية. يتميز المشروع بدعم التعريب للعديد من وظائف جافاسكريبت الأساسية، ويشمل أمثلة تعليمية لمساعدة المطورين في البدء.,اكتمل ✅,متوقف صيانته 😑,,٩ نوفمبر ٢٠٢٤ ٨:٣٠ م,Abd El-Rahman Bayoumi,Yes,لغة برمجة,لغة برمجة عربية
لغة ألف,C++,GPL-3.0 License,68192199.png,https://github.com/alifcommunity/Alif,"Alif is an open-source Arabic programming language designed to enable developers to write code in Arabic. It emphasizes clarity and execution speed, supports object-oriented programming concepts, and provides an integrated development environment for users.",لغة البرمجة ألف هي لغة برمجة عربية مفتوحة المصدر، تهدف إلى تمكين المبرمجين من كتابة التعليمات البرمجية باللغة العربية. تتميز اللغة بالوضوح وسرعة التنفيذ، وتدعم مفاهيم البرمجة الكائنية، مع توفير بيئة تطوير متكاملة للمستخدمين.,اكتمل ✅,نشط 🚀,,٩ نوفمبر ٢٠٢٤ ٨:١٩ م,Abd El-Rahman Bayoumi,Yes,لغة برمجة,لغة برمجة عربية
"لغة ""كلمات""",C++,Apache License 2.0,logo.png,https://github.com/mobadarah/kalimat-lang,"Kalimat is an open-source Arabic programming language developed to teach programming to children and beginners. Designed to be user-friendly, the language includes advanced features like OOP and parallel programming, and offers a comprehensive educational development environment. It is part of a vision to revive creativity and self-expression through programming in Arabic.",كلمات هي لغة برمجة عربية مفتوحة المصدر تم تطويرها لتعليم الأطفال والمبتدئين البرمجة. صممت اللغة بحيث تكون سهلة الاستخدام وتدعم ميزات متقدمة مثل البرمجة الكائنية والبرمجة المتوازية، مع تقديم بيئة تطويرية تعليمية شاملة. تُعد اللغة جزءاً من رؤية تهدف إلى إحياء روح الإبداع والتعبير البرمجي باللغة العربية.,اكتمل ✅,ميت ☠️,,٩ نوفمبر ٢٠٢٤ ٨:١٦ م,Abd El-Rahman Bayoumi,Yes,لغة برمجة,لغة برمجة عربية
لغة الأسُس البرمجية (Alusus),C++,ALUSUS PUBLIC LICENSE,68747470733a2f2f616c757375732e6f72672f5265736f75726365732f6c6f676f2e676966.gif,https://github.com/Alusus/Alusus,"Alusus is an open-source Arabic programming language designed to be dynamically extensible, allowing users to add new features and use it for various applications, such as server-side programming, databases, and graphics. Alusus supports both low- and high-level programming, making it suitable for diverse programming fields without the need for additional languages.",غة الأسُس هي لغة برمجة عربية مفتوحة المصدر صُمّمت لتكون قابلة للتوسع ديناميكيًا، مما يتيح للمستخدمين إضافة ميزات جديدة واستخدام اللغة في تطبيقات متعددة كبرمجة الخادم، قواعد البيانات، والرسوميات. تدعم الأسُس البرمجة منخفضة وعالية المستوى، مما يجعلها مناسبة لمجالات برمجية متنوعة دون الحاجة لاستخدام لغات أخرى.,اكتمل ✅,نشط 🚀,,٩ نوفمبر ٢٠٢٤ ٨:٢٥ م,Abd El-Rahman Bayoumi,Yes,لغة برمجة,لغة برمجة عربية
Phoenix - لغة البرمجة العربية كائنية التوجه,"NLP, لغة البرمجة العربية Phoenix",NONE ❌,,https://arxiv.org/pdf/1907.05871.pdf,"Phoenix is a general-purpose, high-level, imperative, object-oriented, compiled programming language using Arabic as its syntax. It includes features such as strong data types, dynamic arrays, functions, arithmetic operations, and modern programming structures, supporting concepts like inheritance and polymorphism.",Phoenix هي لغة برمجة عامة الأغراض وعالية المستوى، تم تصميمها كائنية التوجه وبصيغة تجميعية، وتستخدم اللغة العربية لتطوير التطبيقات البرمجية. تحتوي Phoenix على مميزات مثل المتغيرات ذات الأنواع القوية، المصفوفات الديناميكية، الدوال، وعمليات الحساب، وتدعم الهياكل البرمجية الحديثة مثل الوراثة وتعدد الأشكال.,اكتمل ✅,ميت ☠️,,٩ نوفمبر ٢٠٢٤ ١:٥٨ م,Abd El-Rahman Bayoumi,No,"لغة برمجة, ورقة بحثية",لغة برمجة عربية
لغة برمجة عمّوريا,VBA,NONE ❌,https://github.com/mobadarah/Ammoria/raw/main/cover.png,https://github.com/mobadarah/Ammoria,"Ammoria is an open-source programming language based on Arabic, aiming to enable programmers to code in their native language, focusing on making programming principles easier to understand. Ammoria supports essential programming concepts and may include an IDE for supporting learning programming in Arabic.",Ammoria هي لغة برمجة مفتوحة المصدر تعتمد على اللغة العربية، تهدف إلى تمكين المبرمجين من كتابة التعليمات البرمجية بلغتهم الأم، مع التركيز على تسهيل فهم مبادئ البرمجة. تدعم Ammoria مفاهيم البرمجة الأساسية وقد تشمل بيئة تطوير متكاملة تسهم في دعم تعلم البرمجة بالعربية.,اكتمل ✅,ميت ☠️,http://ammoria.sourceforge.net/ar/ar_index.html,٩ نوفمبر ٢٠٢٤ ٨:١٢ م,Abd El-Rahman Bayoumi,Yes,لغة برمجة,لغة برمجة عربية
مشاريع الخوارزم,لغة خوارزم,Apache License 2.0,54645767.gif,https://github.com/alkhawarizm/examples,"A repository collecting source examples of programs written in the Al-Khawarizm language, prepared for compilation and educational use.",مستودع يجمع مصادر أمثلة لبرامج مكتوبة بلغة الخوارزم، معدة للترجمة والاستخدام التعليمي.,اكتمل ✅,نشط 🚀,,٩ نوفمبر ٢٠٢٤ ١:٥٣ م,Abd El-Rahman Bayoumi,Yes,لغة برمجة,لغة برمجة عربية
NabdJS,JavaScript,GPL-3.0 License,,https://github.com/KL13NT/nabdjs,"NabdJS is an open-source Arabic programming language developed using JavaScript, based on the principles of BASIC. It aims to enable programmers to write code in Arabic, providing an interactive environment for immediate execution.",NabdJS هي لغة برمجة عربية مفتوحة المصدر، تم تطويرها باستخدام JavaScript وتستند إلى مبادئ لغة BASIC. تهدف إلى تمكين المبرمجين من كتابة التعليمات البرمجية باللغة العربية، مع توفير بيئة تفاعلية للتنفيذ الفوري.,اكتمل ✅,متوقف صيانته 😑,,٩ نوفمبر ٢٠٢٤ ٨:٠٩ م,Abd El-Rahman Bayoumi,Yes,لغة برمجة,"اللغة عربية, لغة برمجة عربية"
ALB قلب,"JavaScript, Ruby",MIT,,https://github.com/nasser/---,"ALB is a simple, Scheme-like programming language that you code entirely in Arabic. It is an exploration of the impact of human culture on computer science, the role of tradition in software engineering, and the connection between natural and computer languages.",Arabic - English word based dictionaries compilation - ejtaal/mr,قيد العمل 💪🏻,ميت ☠️,,٩ نوفمبر ٢٠٢٤ ١:٣٢ ص,Omar Seifelnasr,Yes,لغة برمجة,اللغة عربية
Labiba لبيبة,"CSS, HTML, JavaScript",NONE ❌,,https://github.com/fakoua/labiba,,,قيد العمل 💪🏻,ميت ☠️,,٩ نوفمبر ٢٠٢٤ ٢:١٨ ص,Omar Seifelnasr,Yes,لغة برمجة,
Mawrid Reader: Arabic dictionary interface,JavaScript,,,https://github.com/ejtaal/mr,,,احتاج مساعدة 🚨,,,٢٨ أبريل ٢٠٢٦ ١٠:٥٧ م,Omar Seifelnasr,No,,
"Noor programming language ","CSS, HTML, JavaScript",,,https://github.com/SimplyAhmazing/noor,"Noor is a simple, yet aHmazing arabic programming language. It it is currently in development mode and is being further defined and refined. It is implemented in Javascript.


Noor comes with an IDE built to make it easy to write code in an arabic environment.",,قيد العمل 💪🏻,متوقف صيانته 😑,,٩ نوفمبر ٢٠٢٤ ١:٥٠ ص,Omar Seifelnasr,Yes,لغة برمجة,
,"JavaScript, NLP",,,https://github.com/imAbdelhadi/coursera-subtitle-translation-arabic,,"Arabic NLP tools List inventory QalsadiQalsadi Qalsadi: Arabic mophological analyzer Library for python. Buckwalter Arabic Morphological Analyzer (BAMA BAMA) Standard Arabic Morphological Analyzer (SAMA SAMA, version 3.0 of BAMA) ElixirFM ElixirFM : Functional Arabic Morphology Xerox Arabic Morphological Analysis and Generation (Deprecated) NMSU NMSU's Arabic Morphological Analyzer - MAGEAD: Morphological Analysis and Generation for Arabic and its Dialects ~~- Almorgeana : Arabic Lexeme-based Morphological Generation and Analysis is distributed as part of the MADA system.",قيد العمل 💪🏻,,,١ نوفمبر ٢٠٢٤ ١:٢٧ م,Omar Seifelnasr,No,تعليم,اللغة عربية
The Modern JavaScript Tutorial in Arabic,,,,https://github.com/javascript-tutorial/ar.javascript.info,,"PhD, Computer Science Professor, Interest : Arabic Natural Language processing - linuxscout",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٨ م,"ezz ",No,,
Arabic NLP Tools and Resources Lists,,,,https://github.com/linuxscout/arabicnlptoolslist,,Reconstruct Arabic sentences to be used in applications that don't support Arabic script. Works with Python 2.x and 3.x Arabic script is very special with two essential features: It is written from right to left. The characters change shape according to their surrounding characters.,تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٧ م,"ezz ",No,,
Adawat: Arabic Language Toolkit,,,,https://github.com/linuxscout/adawat,,"LanguageTool is an Open Source proofreading software for English, French, German, Polish, Russian, and more than 20 other languages. It finds many errors that a simple spell checker cannot detect. For more information, please see our homepage at https://languagetool.org, this README, and CHANGES. LanguageTool is freely available under the LGPL 2.1 or later.",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٥ م,"ezz ",No,,
Python Arabic Reshaper,,,,https://github.com/mpcabd/python-arabic-reshaper,,"This repository now contains code and implementation for: AraBERT v0.1/v1: Original AraBERT v0.2/v2: Base and large versions with better vocabulary, more data, more training Read More... AraGPT2: base, medium, large and MEGA. Trained from scratch on Arabic Read More... AraELECTRA: Trained from scratch on Arabic Read More...",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٥ م,"ezz ",No,,
LanguageTool,,,,https://github.com/linuxscout/languagetool,,"AyaSpell Arabic Dictionary for Hunspell Spellchecker Developpers: Taha Zerrouki: http://tahadz.com taha dot zerrouki at gmail dot com Collect data manually Mohamed Kebdani, Morroco Ayaspell project aims to provide Arabic dictionaries for free office applications like OpenOffice.org, Firefox, Thunderbird, abiword, gedit ...etc. This project is under GPL/LGPL/MPL tri-license.",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٥ م,"ezz ",No,,
tnkeeh,,,,https://github.com/ARBML/tnkeeh,,"OCR system for Arabic language that converts images of typed text to machine-encoded text. The system currently supports only letters (29 letters) ا-ى , لا. The system aims to solve a simpler problem of OCR with images that contain only Arabic characters (check the dataset link below to see a sample of the images).",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٥ م,"ezz ",No,,
arabert,,,,https://github.com/aub-mind/arabert,,"A specific Arabic language library for Python, provides basic functions to manipulate Arabic letters and text, like detecting Arabic letters, Arabic letters groups and characteristics, remove diacritics etc. مكتبة برمجية للغة العربية بلغة بيثون، توفر دوالا للتحكم في الحروف والنصوص، مثلا تحديد نوع الحرف، حذف الحركات، مقارنة التشكيل.",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٥ م,"ezz ",No,,
AyaSpell Arabic Dictionary for Spellchecking,,,,https://github.com/linuxscout/ayaspell,,Thia Arabic Word Embeddings Word2vec and vector length is 300 taken from Wikipedia Arabic articles Steps to Start this Application:- 1- Download pretrained Word2Vec model from this link:- https://drive.google.com/open?id=1y_195XEjo5HaSwj40hGVzR5JVp859jfj 2- Change this line in Views.py to your directory model = Word2Vec.load('ToDo from your directory') 3- Start Python Flask server.,تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٤ م,"ezz ",No,,
Arabic Named Entity Recognition: What Works and What’s Next,"Machine learning, NER, NLP",,,https://github.com/LiyuanLucasLiu/ArabicNER,"This paper presents the winning solution to the Arabic Named Entity Recognition challenge organized by http://topcoder.com/. The proposed model integrates a variety of tailored techniques, including representation learning, feature engineering, sequence labeling, and ensemble learning. The final model achieves a test F1 score of 75.82% on the AQMAR dataset, significantly outperforming baseline models. Detailed analyses reveal its strengths and limitations, noting that (1) representation learning modules can greatly enhance performance but require proper preprocessing, and (2) the resulting embeddings can be further improved with feature engineering due to the limited size of the training data. All implementations and pre-trained models are made public.",تستعرض هذه الورقة الحل الفائز في تحدي التعرف على الكيانات المسماة باللغة العربية الذي نظمته http://topcoder.com/. يدمج النموذج المقترح مجموعة من التقنيات المخصصة، بما في ذلك تعلم التمثيل، وهندسة الميزات، وتصنيف التسلسل، والتعلم الجماعي. حقق النموذج النهائي درجة F1 اختبار تبلغ 75.82% على مجموعة بيانات AQMAR، متفوقًا على المعايير السابقة بشكل كبير. تم إجراء تحليلات مفصلة للكشف عن نقاط القوة والقيود. نلاحظ على وجه الخصوص أن (1) وحدات تعلم التمثيل يمكن أن تعزز الأداء بشكل كبير ولكنها تتطلب معالجة مسبقة مناسبة، و(2) يمكن تحسين التضمين الناتج بمزيد من هندسة الميزات بسبب الحجم المحدود لبيانات التدريب. تم نشر جميع الإجراءات والنماذج المدربة مسبقًا للجمهور.,اكتمل ✅,نشط 🚀,https://www.aclweb.org/anthology/W19-4607.pdf,٨ نوفمبر ٢٠٢٤ ٨:٣٨ م,"ezz ",Yes,ورقة بحثية,"أنواع الأعيان, أنواع الكلمات, اللغة عربية, تحليل صرفي, معالجة اللغة الطبيعية"
PyArabic,Python,GPL-3.0 License,,https://github.com/linuxscout/pyarabic,"A specific Arabic language library for Python,
 provides basic functions to manipulate Arabic letters and text, like 
detecting Arabic letters, Arabic letters groups and characteristics, 
remove diacritics etc.",مكتبة برمجية للغة العربية بلغة بيثون، توفر دوالّ للتحكم في الحروف والنصوص، مثلا تحديد نوع الحرف، حذف الحركات، مقارنة التشكيل.,تحت الانتظار ⌛,نشط 🚀,,١٣ فبراير ٢٠٢٦ ١:٤٧ م,محمد الصوالحي,Yes,مكتبة برمجية,"أنواع الكلمات, التشكيل, اللغة عربية, تحليل صرفي, تقنية"
ArabicTransliterator,,,,https://github.com/MTG/ArabicTransliterator,,"A dataset for online arabic calligraphy Support Arabic people working on research by creating an environment for ideas in NLP and speech. 0 Updated 9 0 Apr 25, 2021 People This organization has no public members. You must be a member to see who's a part of this organization.",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٢ م,محمد الصوالحي,No,,
Arabic Word Embeddings Word2vec,,,,https://github.com/rozester/Arabic-Word-Embeddings-Word2vec,,يهدف المشروع إلى إيجاد طريقة لرقمنة كتب التراث العربي عن طريق الجهد الموزع بين فئة كبيرة من الناس.,تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٢ م,محمد الصوالحي,No,,
raqin,,,,https://github.com/Fahad-Alsaidi/raqin,,"OCR system for Arabic language that converts images of typed text to machine-encoded text. The system currently supports only letters (29 letters) ا-ى , لا. The system aims to solve a simpler problem of OCR with images that contain only Arabic characters (check the dataset link below to see a sample of the images).",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٢ م,محمد الصوالحي,No,,
Arabic_OCR,,,,https://github.com/maidaly/Arabic_OCR,,The Arabic NLP tools is in disarray. Most resources require affiliation with a university and are scattered across the web. This is an attempt to rectify that. This repository will attempt to provide Python wrappers (and perhaps eventually brew formulae!) for many of our field's tools.,تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٢ م,محمد الصوالحي,No,,
ARBML,,,,https://github.com/ARBML,,"The winning solution to the Topcoder Arabic NER challenge. nvidia-docker build -t arabic_ner . nvidia-docker run -v ``pwd''/data:/data:ro -v :/wdata -it arabic_ner bash test.sh /data /wdata/solution.csv`` Using the following command to use the full model (changing auto to -1 to use CPU): bash test.sh /data /wdata/solution.csv auto Or, using the following command to use a single model (changing auto to -1 to use CPU): bash naive_inference.sh /data /wdata/solution.csv auto Liyuan Liu, Jingbo Shang and Jiawei Han.",قيد العمل 💪🏻,,,٢٨ أبريل ٢٠٢٦ ١٠:٥٥ م,محمد الصوالحي,No,,
Arabic NLP,,,,https://github.com/SemanticFrontiers/ArabicNLP,,"Handwriting recognition is the ability of a computer to receive and interpret intelligible handwritten input. This project use Neural Network toolbox in Matlab to train NN with pre registered words, the input to NN is a word (not seperated characters), the word converted to a vector to find the perfect match with other pre-registered words, The input to the project is an image file and the final result saved on a notepad txt file.",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١١ م,محمد الصوالحي,No,,
Arabic-OCR,,,,https://github.com/HusseinYoussef/Arabic-OCR,,Model uses Named Entity Recognition concept to tag words in arabic text. It consists of Bi-directional GRU units(One forward and the other is backward) and a CRF layer referenced from https://arxiv.org/pdf/1508.01991v1.pdf Model is trained on ANERCorp dataset. And uses FastText's Arabic vectors for word embedding. No.,قيد العمل 💪🏻,,,٢٨ أبريل ٢٠٢٦ ١٠:٥٣ م,محمد الصوالحي,No,,
"Arabic NER ",,,,https://github.com/LiyuanLucasLiu/ArabicNER,,"This model detects arabic fonts (نسخ, رقعة) given a picture of the text, Live https://d7miiz.github.io/Arabic-Font-Detector-Website/ - GitHub - d7miiZ/Arabic-Font-Detector: This model detects arabic fonts (نسخ, رقعة) given a picture of the text, Live https://d7miiz.github.io/Arabic-Font-Detector-Website/",قيد العمل 💪🏻,,,٢٨ أبريل ٢٠٢٦ ١٠:٥٤ م,محمد الصوالحي,No,,
Arabic Handwriting Recognition Using Neural Network in MATLAB,"Matlab, Neural Networks, Text Recognition",NONE ❌,,https://github.com/JubbaSmail/Arabic-Handwriting-Recognition-Using-Matlab,"Handwriting recognition is the ability of a computer to receive and interpret intelligible handwritten input. This project use Neural Network toolbox in Matlab to train NN with pre registered words, the input to NN is a word (not seperated characters), the word converted to a vector to find the perfect match with other pre-registered words, The input to the project is an image file and the final result saved on a notepad txt file.",,اكتمل ✅,ميت ☠️,http://www.imljh.com/projects/arabichwr/index.xml,٨ نوفمبر ٢٠٢٤ ٣:٤١ م,"ezz ",Yes,,"اكتشاف النصوص, اللغة عربية, خط اليد"
Arabic-NER,"GRU Architecture, NER",NONE ❌,,https://github.com/HassanAzzam/Arabic-NER,"The Arabic Named Entity Recognition (Arabic-NER) model utilizes the concept of Named Entity Recognition to tag words in Arabic texts. It features a bi-directional GRU architecture (one forward and one backward) along with a CRF layer. The model is trained on the ANERCorp dataset and employs FastText's Arabic vectors for word embedding. It has 20 training epochs and an accuracy of 94.2%. The classification report shows high precision for the LOC category (0.99), with lower precision for PERSON (0.74), ORGANIZATION (0.64), and MISC (0.63).",نموذج التعرف على الكيانات المسماة باللغة العربية (Arabic-NER) يستخدم مفهوم التعرف على الكيانات لتعليم الكلمات في النصوص العربية. يعتمد تصميمه على وحدات GRU الثنائية الاتجاه (إحداها للأمام والأخرى للخلف) مع طبقة CRF. تم تدريب النموذج على مجموعة بيانات ANERCorp، ويستخدم متجهات FastText باللغة العربية للتضمين. عدد الفترات التدريبية هو 20، ودقة النموذج تبلغ 94.2%. تشمل تقارير التصنيف دقة عالية لفئة المواقع (0.99)، بينما كانت دقة فئات الأشخاص (0.74) والمنظمات (0.64) والمعلومات العامة (0.63) أقل.,اكتمل ✅,متوقف صيانته 😑,,٨ نوفمبر ٢٠٢٤ ٨:٣٠ م,"ezz ",Yes,Model,"أنواع الأعيان, أنواع الكلمات, اللغة عربية, تحليل صرفي"
Arabic-Font-Detector,"Jupyter Notebook, Machine learning, Python",MIT,,https://github.com/d7miiZ/Arabic-Font-Detector,"This model detects arabic fonts (نسخ, رقعة) given a picture of the text, Live ",محرك لقراءة الخطوط العربية (النسخ و الرقعة),اكتمل ✅,نشط 🚀,https://calbot.hawzen.me/,١ نوفمبر ٢٠٢٤ ٨:٤١ م,"ezz ",Yes,"تطبيق ويب, سكريبت برمجي",اللغة عربية
" Arabic TTS ( الناطق العربي ) ","Machine learning, Shell",MIT,dhad.png,https://github.com/asrajeh/arabic-tts,http://www.festvox.org/ voice trained on http://en.arabicspeechcorpus.com/,HTS Arabic voice for Festival TTS: is an arabic voice trained by HTS technologie to work on Festival TTS system. The voice is HMM trained on Nawar Arabic Speech Corpus. You can test the voice with diacritics on: http://ar.arabicspeechcorpus.com/ Install necessary packages: sudo apt-get install festival sudo apt-get install htsengine You can install Festival from pakcage manager from your linux distribution.,اكتمل ✅,متوقف صيانته 😑,,٢٥ أكتوبر ٢٠٢٤ ٣:٥٤ م,"ezz ",Yes,TTS,اللغة عربية
Klaam,"Jupyter Notebook, Machine learning, Python, Speech recognition",MIT,book.png,https://github.com/ARBML/klaam,"Arabic speech recognition, classification and text-to-speech using many 
advanced models like wave2vec and fastspeech2. This repository allows 
training and prediction using pretrained models.","نظام تعرف على الكلام العربي، تصنيفه، وتحويل النص إلى كلام باستخدام نماذج متقدمة مثل Wave2Vec وFastSpeech2. يوفر ادوات للتدريب والتنبؤ باستخدام نماذج مدربة مسبقاً لتحسين الأداء في مهام التعرف على الكلام وتحويل النص إلى صوت.
",اكتمل ✅,نشط 🚀,,١٢ فبراير ٢٠٢٦ ٦:٤٤ م,"ezz ",Yes,"CLI, مكتبة برمجية",مكتبة
Arabic Speech Corpus,"Database, Docker, Machine learning, Python, Speech recognition",CC Attribution 4.0 International License,logo%201.png,https://github.com/nawarhalabi/festival-tts-arabic-voices-docker,"This Speech corpus has been developed as part of PhD work carried out by https://uk.linkedin.com/pub/nawar-halabi/65/532/67b at the http://www.southampton.ac.uk/. The corpus was recorded in south Levantine Arabic (Damascian accent) using a professional studio. Synthesized speech as an output using this corpus has produced a high quality, natural voice.",تم بناء قاعدة البيانات هذه كجزء من اطروحة دكتوراة https://uk.linkedin.com/pub/nawar-halabi/65/532/67b في http://www.southampton.ac.uk/. تم تسجيل قاعدة البيانات هذه في استوديو احترافي بلهجة دمشقية. تم استخدام قاعدة البيانات هذه لتركيب كلام منطوق أوتوماتيكيا ذي جودة عالية.,اكتمل ✅,متوقف صيانته 😑,https://ar.arabicspeechcorpus.com/,٣ نوفمبر ٢٠٢٤ ٣:٢٧ م,أحمد الطبراني,Yes,"CLI, قاعدة بيانات, مكتبة برمجية","أصوات, اللغة عربية"
arabic-tacotron-tts,"Machine learning, Python",MIT,book.png,https://github.com/youssefsharief/arabic-tacotron-tts,End to end Arabic TTS system based on tacotron,نظام tts عربي مبني علي تاكتورون,اكتمل ✅,متوقف صيانته 😑,,٢٥ أكتوبر ٢٠٢٤ ٣:٣٥ م,"ezz ",Yes,"TTS, مكتبة برمجية",اللغة عربية
languagetool-tools-ar,Java,LGPL-2.1 license,,https://github.com/sohaibafifi/languagetool-tools-ar,Dev Tools for Arabic and LanguageTool,أدوات تطوير للغة العربية ولـ LanguageTool,احتاج مساعدة 🚨,ميت ☠️,,٩ نوفمبر ٢٠٢٤ ١١:٥٨ م,أحمد الطبراني,Yes,سكريبت برمجي,"اضافة لمكتبة, اللغة عربية, قواعد لغوية"
"Ghalatawi, Arabic AutoCorrect",,,,http://ghalatawi.sourceforge.net/,,"This repository contains the models, dataset, helpers, and systems' comparison for our paper on Arabic Text Diacritization: "" Neural Arabic Text Diacritization: State of the Art Results and a Novel Approach for Machine Translation"", Ali Fadel, Ibraheem Tuffaha, Bara' Al-Jawarneh and Mahmoud Al-Ayyoub, EMNLP-IJCNLP 2019.",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٠ م,MohammedAnwer,No,,
duali,"C, C++, Makefile, Python","BSD 3-Clause, BSD license",,https://gitlab.com/arabeyes-dev/duali,Arabic spellchecker,تصحيح إملائي عربي,احتاج مساعدة 🚨,ميت ☠️,,٩ نوفمبر ٢٠٢٤ ١١:٥٢ م,أحمد الطبراني,Yes,,
