Name,التقنيات,الرخصة,الكود المصدري,الوصف بالإنجليزية,الوصف بالعربية,حالة المشروع,روابط,مفتوح المصدر,نوع المبادرة,وسوم
"لغة ""كلمات""",C++,Apache License 2.0,https://github.com/mobadarah/kalimat-lang,"Kalimat is an open-source Arabic programming language developed to teach programming to children and beginners. Designed to be user-friendly, the language includes advanced features like OOP and parallel programming, and offers a comprehensive educational development environment. It is part of a vision to revive creativity and self-expression through programming in Arabic.",كلمات هي لغة برمجة عربية مفتوحة المصدر تم تطويرها لتعليم الأطفال والمبتدئين البرمجة. صممت اللغة بحيث تكون سهلة الاستخدام وتدعم ميزات متقدمة مثل البرمجة الكائنية والبرمجة المتوازية، مع تقديم بيئة تطويرية تعليمية شاملة. تُعد اللغة جزءاً من رؤية تهدف إلى إحياء روح الإبداع والتعبير البرمجي باللغة العربية.,ميت ☠️,https://github.com/mobadarah/kalimat-lang,Yes,لغة برمجة,لغة برمجة عربية
لغة الأسُس البرمجية (Alusus),C++,ALUSUS PUBLIC LICENSE,https://github.com/Alusus/Alusus,"Alusus is an open-source Arabic programming language designed to be dynamically extensible, allowing users to add new features and use it for various applications, such as server-side programming, databases, and graphics. Alusus supports both low- and high-level programming, making it suitable for diverse programming fields without the need for additional languages.",غة الأسُس هي لغة برمجة عربية مفتوحة المصدر صُمّمت لتكون قابلة للتوسع ديناميكيًا، مما يتيح للمستخدمين إضافة ميزات جديدة واستخدام اللغة في تطبيقات متعددة كبرمجة الخادم، قواعد البيانات، والرسوميات. تدعم الأسُس البرمجة منخفضة وعالية المستوى، مما يجعلها مناسبة لمجالات برمجية متنوعة دون الحاجة لاستخدام لغات أخرى.,نشط 🚀,https://github.com/Alusus/Alusus,Yes,لغة برمجة,لغة برمجة عربية
Phoenix - لغة البرمجة العربية كائنية التوجه,"NLP, لغة البرمجة العربية Phoenix",رخصة خاصة,https://arxiv.org/pdf/1907.05871.pdf,"Phoenix is a general-purpose, high-level, imperative, object-oriented, compiled programming language using Arabic as its syntax. It includes features such as strong data types, dynamic arrays, functions, arithmetic operations, and modern programming structures, supporting concepts like inheritance and polymorphism.",Phoenix هي لغة برمجة عامة الأغراض وعالية المستوى، تم تصميمها كائنية التوجه وبصيغة تجميعية، وتستخدم اللغة العربية لتطوير التطبيقات البرمجية. تحتوي Phoenix على مميزات مثل المتغيرات ذات الأنواع القوية، المصفوفات الديناميكية، الدوال، وعمليات الحساب، وتدعم الهياكل البرمجية الحديثة مثل الوراثة وتعدد الأشكال.,ميت ☠️,https://arxiv.org/pdf/1907.05871.pdf,Yes,"لغة برمجة, ورقة بحثية",لغة برمجة عربية
لغة برمجة عمّوريا,VBA,رخصة خاصة,https://github.com/mobadarah/Ammoria,"Ammoria is an open-source programming language based on Arabic, aiming to enable programmers to code in their native language, focusing on making programming principles easier to understand. Ammoria supports essential programming concepts and may include an IDE for supporting learning programming in Arabic.",Ammoria هي لغة برمجة مفتوحة المصدر تعتمد على اللغة العربية، تهدف إلى تمكين المبرمجين من كتابة التعليمات البرمجية بلغتهم الأم، مع التركيز على تسهيل فهم مبادئ البرمجة. تدعم Ammoria مفاهيم البرمجة الأساسية وقد تشمل بيئة تطوير متكاملة تسهم في دعم تعلم البرمجة بالعربية.,ميت ☠️,http://ammoria.sourceforge.net/ar/ar_index.html,Yes,لغة برمجة,لغة برمجة عربية
مشاريع الخوارزم,لغة خوارزم,Apache License 2.0,https://github.com/alkhawarizm/examples,"A repository collecting source examples of programs written in the Al-Khawarizm language, prepared for compilation and educational use.",مستودع يجمع مصادر أمثلة لبرامج مكتوبة بلغة الخوارزم، معدة للترجمة والاستخدام التعليمي.,نشط 🚀,https://www.alkhawarizm.org,Yes,لغة برمجة,لغة برمجة عربية
NabdJS,JavaScript,GPL-3.0 License,https://github.com/KL13NT/nabdjs,"NabdJS is an open-source Arabic programming language developed using JavaScript, based on the principles of BASIC. It aims to enable programmers to write code in Arabic, providing an interactive environment for immediate execution.",NabdJS هي لغة برمجة عربية مفتوحة المصدر، تم تطويرها باستخدام JavaScript وتستند إلى مبادئ لغة BASIC. تهدف إلى تمكين المبرمجين من كتابة التعليمات البرمجية باللغة العربية، مع توفير بيئة تفاعلية للتنفيذ الفوري.,ميت ☠️,https://nabdjs.netlify.app/,Yes,لغة برمجة,"اللغة عربية, لغة برمجة عربية"
ALB قلب,"JavaScript, Ruby",MIT,https://github.com/nasser/---,"ALB is a simple, Scheme-like programming language that you code entirely in Arabic. It is an exploration of the impact of human culture on computer science, the role of tradition in software engineering, and the connection between natural and computer languages.",مكتبة قلب: تطبيق ويب للتدقيق اللغوي العربي باستخدام التعلم العميق,ميت ☠️,https://nas.sr/قلب/,Yes,لغة برمجة,اللغة عربية
Labiba لبيبة,"CSS, HTML, JavaScript",بدون ترخيص,https://github.com/fakoua/labiba,"Labiba is an integrated Arabic programming language, compatible with JavaScript. It allows writing code entirely in Arabic.",لغة البرمجة لبيبة باللغة العربية,نشط 🚀,https://fakoua.github.io/labiba/,Yes,لغة برمجة,"لغة برمجة عربية, JavaScript, تعريب"
Mawrid Reader: Arabic dictionary interface,"JavaScript, CSS, HTML, Shell, Perl",GNU GPL v3,https://github.com/ejtaal/mr,Arabic - English word based dictionaries compilation,واجهة لعرض القواميس العربية-الإنجليزية (معجم المورد وغيره) مع إمكانية البحث,متوقف صيانته 😑,http://ejtaal.net/mr/,Yes,أداة بحث,"قاموس, عربي-إنجليزي, بحث"
Noor programming language,"CSS, HTML, JavaScript",بدون ترخيص,https://github.com/SimplyAhmazing/noor,"Noor is a simple, yet aHmazing arabic programming language. It it is currently in development mode and is being further defined and refined. It is implemented in Javascript.


Noor comes with an IDE built to make it easy to write code in an arabic environment.",نور هي لغة برمجة عربية بسيطة تهدف لتسهيل تعلم البرمجة للمبتدئين الناطقين بالعربية,ميت ☠️,https://github.com/SimplyAhmazing/noor,Yes,لغة برمجة,"لغة برمجة عربية, تعليم"
Coursera Arabic Subtitle Translation,"JavaScript, NLP",MIT,https://github.com/imAbdelhadi/coursera-subtitle-translation-arabic,A browser extension that automatically translates Coursera subtitles to Arabic using Google Translate. Supports bilingual display of Arabic and English subtitles.,إضافة متصفح تترجم ترجمات دورات كورسيرا إلى العربية تلقائياً باستخدام ترجمة جوجل، مع دعم العرض الثنائي للغة العربية والإنجليزية,متوقف صيانته 😑,https://github.com/imAbdelhadi/coursera-subtitle-translation-arabic,Yes,تعليم,اللغة عربية
The Modern JavaScript Tutorial in Arabic,"HTML, JavaScript, CSS",CC BY-NC-SA 4.0,https://github.com/javascript-tutorial/ar.javascript.info,Modern JavaScript Tutorial in Arabic,النسخة العربية من دروس جافاسكريبت الحديثة - شرح كامل للغة JavaScript من الأساسيات إلى الموضوعات المتقدمة,نشط 🚀,https://javascript.info,Yes,محتوى تعليمي,"javascript, tutorial, arabic"
Arabic NLP Tools and Resources Lists,"Python, JavaScript, Java",GPL-3.0,https://github.com/linuxscout/arabicnlptoolslist,Arabic NLP tools List inventory,قائمة شاملة لأدوات ومكتبات معالجة اللغة العربية الطبيعية,متوقف صيانته 😑,https://github.com/linuxscout/arabicnlptoolslist,Yes,فهرس / قائمة,"nlp, catalogue, arabic, nlp-resources"
Adawat: Arabic Language Toolkit,"Python, Makefile",GPL-3.0,https://github.com/linuxscout/adawat,Adawat: Arabic Text tools,أدوات معالجة النصوص العربية: تصحيح تلقائي، تشكيل، إضافة حروف، وتحويل الأعداد إلى كلمات,ميت ☠️,https://github.com/linuxscout/adawat,Yes,أداة,"نصوص عربية, تصحيح, تشكيل"
Python Arabic Reshaper,Python,MIT,https://github.com/mpcabd/python-arabic-reshaper,Reconstruct Arabic sentences to be used in applications that don't support Arabic,إعادة تشكيل الجمل العربية لتكون متوافقة مع التطبيقات التي لا تدعم اللغة العربية,نشط 🚀,https://github.com/mpcabd/python-arabic-reshaper,Yes,مكتبة برمجية,"python, arabic, reshape"
LanguageTool,"Java, HTML, Python, Shell, Perl, Awk, Other",LGPL-2.1,https://github.com/linuxscout/languagetool,Style and Grammar Checker for 25+ Languages,مدقق نحوي وإملائي متعدد اللغات مع دعم اللغة العربية,نشط 🚀,https://languagetool.org,Yes,أداة,"تدقيق, نحو, إملاء, لغات متعددة"
tnkeeh,"Python, Jupyter Notebook",MIT,https://github.com/ARBML/tnkeeh,"Arabic cleaning, normalization and segmentation library.",مكتبة معالجة أولية للنصوص العربية: تنظيف، تطبيع، وتقسيم,متوقف صيانته 😑,https://github.com/ARBML/tnkeeh,Yes,مكتبة برمجية,"nlp, cleaning, arabic-nlp, preprocessing-library"
arabert,Python,رخصة خاصة (AUB) — استخدام، نسخ، تعديل، وتوزيع مجاني مع نسب العمل,https://github.com/aub-mind/arabert,"Pre-trained Transformers for Arabic Language Understanding and Generation (Arabic BERT, Arabic GPT2, Arabic ELECTRA)","نماذج محولات مسبقة التدريب لفهم وتوليد اللغة العربية (Arabic BERT, Arabic GPT2, Arabic ELECTRA)",متوقف صيانته 😑,https://huggingface.co/aubmindlab,Yes,مكتبة برمجية,"arabic, bert, arabic-nlp, electra, farasa, gpt2, huggingface-transformer, arabic-classification, arabert"
AyaSpell Arabic Dictionary for Spellchecking,"Shell, Makefile, JavaScript",GPL/LGPL/MPL tri-license,https://github.com/linuxscout/ayaspell,AyaSpell Arabic Dictionary for Hunspell Spellchecker,"قواميس عربية للتدقيق الإملائي لأنظمة Hunspell (لـ LibreOffice, Firefox وغيرها)",ميت ☠️,https://github.com/linuxscout/ayaspell,Yes,قاموس,"تدقيق إملائي, قاموس, hunspell"
Arabic Named Entity Recognition: What Works and What’s Next,"Machine learning, NER, NLP",Apache-2.0,https://github.com/LiyuanLucasLiu/ArabicNER,"This paper presents the winning solution to the Arabic Named Entity Recognition challenge organized by http://topcoder.com/. The proposed model integrates a variety of tailored techniques, including representation learning, feature engineering, sequence labeling, and ensemble learning. The final model achieves a test F1 score of 75.82% on the AQMAR dataset, significantly outperforming baseline models. Detailed analyses reveal its strengths and limitations, noting that (1) representation learning modules can greatly enhance performance but require proper preprocessing, and (2) the resulting embeddings can be further improved with feature engineering due to the limited size of the training data. All implementations and pre-trained models are made public.",تستعرض هذه الورقة الحل الفائز في تحدي التعرف على الكيانات المسماة باللغة العربية الذي نظمته http://topcoder.com/. يدمج النموذج المقترح مجموعة من التقنيات المخصصة، بما في ذلك تعلم التمثيل، وهندسة الميزات، وتصنيف التسلسل، والتعلم الجماعي. حقق النموذج النهائي درجة F1 اختبار تبلغ 75.82% على مجموعة بيانات AQMAR، متفوقًا على المعايير السابقة بشكل كبير. تم إجراء تحليلات مفصلة للكشف عن نقاط القوة والقيود. نلاحظ على وجه الخصوص أن (1) وحدات تعلم التمثيل يمكن أن تعزز الأداء بشكل كبير ولكنها تتطلب معالجة مسبقة مناسبة، و(2) يمكن تحسين التضمين الناتج بمزيد من هندسة الميزات بسبب الحجم المحدود لبيانات التدريب. تم نشر جميع الإجراءات والنماذج المدربة مسبقًا للجمهور.,متوقف صيانته 😑,https://www.aclweb.org/anthology/W19-4607.pdf,Yes,ورقة بحثية,"أنواع الأعيان, أنواع الكلمات, اللغة عربية, تحليل صرفي, معالجة اللغة الطبيعية"
PyArabic,Python,GPL-3.0 License,https://github.com/linuxscout/pyarabic,"A specific Arabic language library for Python,
 provides basic functions to manipulate Arabic letters and text, like 
detecting Arabic letters, Arabic letters groups and characteristics, 
remove diacritics etc.",مكتبة برمجية للغة العربية بلغة بيثون، توفر دوالّ للتحكم في الحروف والنصوص، مثلا تحديد نوع الحرف، حذف الحركات، مقارنة التشكيل.,نشط 🚀,https://github.com/linuxscout/pyarabic,Yes,مكتبة برمجية,"أنواع الكلمات, التشكيل, اللغة عربية, تحليل صرفي, تقنية"
ArabicTransliterator,"Python, TSQL, HTML, Other",بدون ترخيص,https://github.com/MTG/ArabicTransliterator,A code for transliterating (romanizing) Arabic text using the American Library Association - Library of Congress (ALA-LC) standard.,كود لتحويل النص العربي إلى حروف لاتينية (الترجمة الصوتية) باستخدام معيار جمعية المكتبات الأمريكية - مكتبة الكونغرس (ALA-LC),متوقف صيانته 😑,https://github.com/MTG/ArabicTransliterator,Yes,مكتبة برمجية,"ترجمة صوتية, ترميز, ALA-LC"
Arabic Word Embeddings Word2vec,"JavaScript, HTML, Python, CSS",بدون ترخيص,https://github.com/rozester/Arabic-Word-Embeddings-Word2vec,Arabic Word Embeddings Word2vec,تطبيق ويب لتوليد واستعراض تمثيلات الكلمات (Word Embeddings) العربية باستخدام Word2vec,ميت ☠️,https://github.com/rozester/Arabic-Word-Embeddings-Word2vec,Yes,تطبيق ويب,"python, nlp, flask, ai, word2vec, word-embeddings, arabic"
raqin,"JavaScript, Vue, HTML, SCSS, Shell, Dockerfile",بدون ترخيص,https://github.com/Fahad-Alsaidi/raqin,Raqin is a comprehensive digital platform for Quranic sciences and Arabic language learning.,منصة رقمية شاملة لعلوم القرآن وتعلم اللغة العربية,ميت ☠️,https://github.com/Fahad-Alsaidi/raqin,Yes,منصة رقمية,"قرآن, علوم القرآن, لغة عربية, منصة تعليمية"
Arabic_OCR,"Python, HTML",بدون ترخيص,https://github.com/maidaly/Arabic_OCR,This repo contains Arabic OCR App,تطبيق للتعرف البصري على الحروف العربية (OCR),متوقف صيانته 😑,https://github.com/maidaly/Arabic_OCR,Yes,تطبيق,"OCR, تعرف بصري, لغة عربية, Python"
ARBML,"Python, Jupyter Notebook, JavaScript, CSS",MIT (للمكتبات التابعة),https://github.com/ARBML,"ARBML is an open-source initiative aiming to accelerate Arabic NLP research and development through shared tools, models, and datasets.",مبادرة مفتوحة المصدر تهدف إلى تسريع البحث والتطوير في معالجة اللغة العربية عبر أدوات ونماذج ومجموعات بيانات مشتركة,نشط 🚀,https://github.com/ARBML,Yes,منظمة / مجموعة مشاريع,"معالجة لغة طبيعية, عربية, NLP, ذكاء اصطناعي, مفتوح المصدر"
Arabic NLP,Python,بدون ترخيص,https://github.com/SemanticFrontiers/ArabicNLP,Collection of various Arabic NLP and Text Processing Scripts and Utilities,مجموعة من السكريبتات والأدوات المتنوعة لمعالجة النصوص العربية,ميت ☠️,https://github.com/SemanticFrontiers/ArabicNLP,Yes,سكريبت برمجي,"معالجة لغة طبيعية, نصوص عربية, سكريبتات"
Arabic-OCR,Python,MIT,https://github.com/HusseinYoussef/Arabic-OCR,OCR system for Arabic language that converts images of typed text to machine-encoded text.,نظام OCR للغة العربية يحول صور النص المكتوب إلى نص مشفر آليًا,متوقف صيانته 😑,https://github.com/HusseinYoussef/Arabic-OCR,Yes,تطبيق,"machine-learning, ocr, computer-vision, neural-network, scikit-learn, image-processing, dataset, segmentation, arabic, opencv-python, character-segmentation"
Arabic Handwriting Recognition Using Neural Network in MATLAB,"Matlab, Neural Networks, Text Recognition",بدون ترخيص,https://github.com/JubbaSmail/Arabic-Handwriting-Recognition-Using-Matlab,"Handwriting recognition is the ability of a computer to receive and interpret intelligible handwritten input. This project use Neural Network toolbox in Matlab to train NN with pre registered words, the input to NN is a word (not seperated characters), the word converted to a vector to find the perfect match with other pre-registered words, The input to the project is an image file and the final result saved on a notepad txt file.",التعرف على خط اليد هو قدرة الكمبيوتر على استقبال وتفسير المدخلات المكتوبة بخط اليد. هذا المشروع ينفذ التعرف على الكلمات العربية المكتوبة بخط اليد باستخدام الشبكات العصبية في MATLAB,ميت ☠️,http://www.imljh.com/projects/arabichwr/index.xml,Yes,مشروع أكاديمي,"اكتشاف النصوص, اللغة عربية, خط اليد"
Arabic-NER,"GRU Architecture, NER",بدون ترخيص,https://github.com/HassanAzzam/Arabic-NER,"The Arabic Named Entity Recognition (Arabic-NER) model utilizes the concept of Named Entity Recognition to tag words in Arabic texts. It features a bi-directional GRU architecture (one forward and one backward) along with a CRF layer. The model is trained on the ANERCorp dataset and employs FastText's Arabic vectors for word embedding. It has 20 training epochs and an accuracy of 94.2%. The classification report shows high precision for the LOC category (0.99), with lower precision for PERSON (0.74), ORGANIZATION (0.64), and MISC (0.63).",نموذج التعرف على الكيانات المسماة باللغة العربية (Arabic-NER) يستخدم مفهوم التعرف على الكيانات لتعليم الكلمات في النصوص العربية. يعتمد تصميمه على وحدات GRU الثنائية الاتجاه (إحداها للأمام والأخرى للخلف) مع طبقة CRF. تم تدريب النموذج على مجموعة بيانات ANERCorp، ويستخدم متجهات FastText باللغة العربية للتضمين. عدد الفترات التدريبية هو 20، ودقة النموذج تبلغ 94.2%. تشمل تقارير التصنيف دقة عالية لفئة المواقع (0.99)، بينما كانت دقة فئات الأشخاص (0.74) والمنظمات (0.64) والمعلومات العامة (0.63) أقل.,متوقف صيانته 😑,https://github.com/HassanAzzam/Arabic-NER,Yes,Model,"أنواع الأعيان, أنواع الكلمات, اللغة عربية, تحليل صرفي"
Arabic-Font-Detector,"Jupyter Notebook, Machine learning, Python",MIT,https://github.com/d7miiZ/Arabic-Font-Detector,"This model detects arabic fonts (نسخ, رقعة) given a picture of the text, Live",محرك لقراءة الخطوط العربية (النسخ و الرقعة),متوقف صيانته 😑,https://calbot.hawzen.me/,Yes,"تطبيق ويب, سكريبت برمجي",اللغة عربية
Arabic TTS ( الناطق العربي ),"Machine learning, Shell",MIT,https://github.com/asrajeh/arabic-tts,http://www.festvox.org/ voice trained on http://en.arabicspeechcorpus.com/,نظام تحويل النص العربي إلى كلام باستخدام محرك Festvox المدرب على مجموعة البيانات العربية للكلام,ميت ☠️,http://asrajeh.ddns.net/tts/,Yes,TTS,اللغة عربية
Klaam,"Jupyter Notebook, Machine learning, Python, Speech recognition",MIT,https://github.com/ARBML/klaam,"Arabic speech recognition, classification and text-to-speech using many 
advanced models like wave2vec and fastspeech2. This repository allows 
training and prediction using pretrained models.",نظام تعرف على الكلام العربي، تصنيفه، وتحويل النص إلى كلام باستخدام نماذج متقدمة مثل Wave2Vec وFastSpeech2. يوفر ادوات للتدريب والتنبؤ باستخدام نماذج مدربة مسبقاً لتحسين الأداء في مهام التعرف على الكلام وتحويل النص إلى صوت.,متوقف صيانته 😑,https://github.com/ARBML/klaam,Yes,"CLI, مكتبة برمجية",مكتبة
Arabic Speech Corpus,"Database, Docker, Machine learning, Python, Speech recognition",CC Attribution 4.0 International License,https://github.com/nawarhalabi/festival-tts-arabic-voices-docker,"This Speech corpus has been developed as part of PhD work carried out by https://uk.linkedin.com/pub/nawar-halabi/65/532/67b at the http://www.southampton.ac.uk/. The corpus was recorded in south Levantine Arabic (Damascian accent) using a professional studio. Synthesized speech as an output using this corpus has produced a high quality, natural voice.",تم بناء قاعدة البيانات هذه كجزء من اطروحة دكتوراة https://uk.linkedin.com/pub/nawar-halabi/65/532/67b في http://www.southampton.ac.uk/. تم تسجيل قاعدة البيانات هذه في استوديو احترافي بلهجة دمشقية. تم استخدام قاعدة البيانات هذه لتركيب كلام منطوق أوتوماتيكيا ذي جودة عالية.,متوقف صيانته 😑,https://ar.arabicspeechcorpus.com/,Yes,"CLI, قاعدة بيانات, مكتبة برمجية","أصوات, اللغة عربية"
arabic-tacotron-tts,"Machine learning, Python",MIT,https://github.com/youssefsharief/arabic-tacotron-tts,End to end Arabic TTS system based on tacotron,نظام tts عربي مبني علي تاكتورون,متوقف صيانته 😑,https://github.com/youssefsharief/arabic-tacotron-tts,Yes,"TTS, مكتبة برمجية",اللغة عربية
languagetool-tools-ar,Java,LGPL-2.1 license,https://github.com/sohaibafifi/languagetool-tools-ar,Dev Tools for Arabic and LanguageTool,أدوات تطوير للغة العربية ولـ LanguageTool,ميت ☠️,https://github.com/sohaibafifi/languagetool-tools-ar,Yes,سكريبت برمجي,"اضافة لمكتبة, اللغة عربية, قواعد لغوية"
"Ghalatawi, Arabic AutoCorrect","Regular expressions, Python, Shell",GPL,http://ghalatawi.sourceforge.net/,"Arabic auto-correct word lists and regular expressions for common Arabic spelling/typing errors (confusion between Alef forms, missing Yeh dots, etc.). A project by Taha Zerrouki (linuxscout).",قوائم تصحيح تلقائي للكلمات العربية وتعبيرات منتظمة للأخطاء الإملائية الشائعة في الكتابة العربية (الخلط بين الألفات والهاء والتاء المربوطة وغيرها),ميت ☠️,http://ghalatawi.sourceforge.net/,Yes,قواميس وأدوات,"تصحيح إملائي, SourceForge, قوالب, تعابير منتظمة"
duali,"C, C++, Makefile, Python","BSD 3-Clause, BSD license",https://gitlab.com/arabeyes-dev/duali,Arabic spellchecker,تصحيح إملائي عربي,ميت ☠️,https://gitlab.com/arabeyes-dev/duali,Yes,مكتبة برمجية,"تدقيق إملائي, عربي, تصحيح إملائي"
shakkelha,"Dataset, Jupyter Notebook, NLP, Neural Networks, Python",MIT,https://github.com/AliOsm/shakkelha,Neural Arabic text diacritization,التشكيل العصبي للنصوص العربية,متوقف صيانته 😑,"https://shakkelha.up.railway.app/, https://aclanthology.org/D19-5229/",Yes,"CLI, Model, مكتبة برمجية, ورقة بحثية","التشكيل, اللغة عربية, معالجة اللغة الطبيعية"
arabic-text-diacritization,"Dataset, NLP, Python",MIT,https://github.com/AliOsm/arabic-text-diacritization,Benchmark Arabic text diacritization dataset,مجموعة بيانات مرجعية لتصحيح أخطاء كتابة النصوص العربية,نشط 🚀,https://arxiv.org/abs/1905.01965,Yes,"Model, قاعدة بيانات, مصادر, ورقة بحثية","التشكيل, اللغة عربية, معالجة اللغة الطبيعية"
mishkal,"NLP, Python, Web",GPL-3.0 License,https://github.com/linuxscout/mishkal,Mishkal Arabic text vocalization software,مشكال لتشكيل النصوص العربية,نشط 🚀,http://www.tahadz.com/mishkal/main,Yes,"CLI, تطبيق ويب, مكتبة برمجية","التشكيل, اللغة عربية, معالجة اللغة الطبيعية"
Shakkala,"Deep Learning, NLP, Python",MIT,https://github.com/Barqawiz/Shakkala,"The Shakkala project presents a recurrent neural network for Arabic text vocalization that automatically forms Arabic characters (تشكيل الحروف) to enhance text-to-speech systems. The model can also be used in other applications such as improving search results. In the beta version, the model was trained on over a million sentences, including a majority of historical Arabic data from books and some modern data from the internet. The accuracy of the model reached up to 95%, and in some data sets it achieved even higher levels of accuracy depending on complexity and data distribution. This innovative approach has the potential to significantly improve the quality of writing and text-to-speech systems for the Arabic language.",التشكيل الالي للنصوص العربية,متوقف صيانته 😑,"https://ahmadai.com/shakkala/, https://arxiv.org/abs/1905.01965",Yes,مكتبة برمجية,"التشكيل, اللغة عربية, معالجة اللغة الطبيعية"
jsastem,"JavaScript, Shell, Python",بدون ترخيص,https://github.com/ejtaal/jsastem,JavaScript Arabic Stemmer,أداة تجذيع (Stemming) للغة العربية مكتوبة بجافاسكريبت,ميت ☠️,https://github.com/ejtaal/jsastem,Yes,مكتبة برمجية,"تجذيع, جافاسكريبت, معالجة لغة طبيعية"
arabicstemmer,"Makefile, Python, Snowball",BSD license,https://github.com/assem-ch/arabicstemmer,An algorithm for Arabic stemming written on Snowball framework language. If offers light stemming and text normalization.,هذه خوارزمية لكتابة النصوص العربية مكتوبة بلغة إطار عمل Snowball. وهي توفر كتابة نصية بسيطة وتطبيع النص.,متوقف صيانته 😑,https://arabicstemmer.com/,Yes,"CLI, تطبيق ويب, مكتبة برمجية","اللغة عربية, ايجاد جزور الكلمات, معالجة اللغة الطبيعية, ويب"
Sarf,"Gherkin, Java, NLP, Web",MIT,https://github.com/alsaydi/sarf,Arabic Morphology System,نظام الاشتقاق والتصريف في اللغة العربية,ميت ☠️,"https://sarf.one/, https://ossl.alecso.org/affich_oso_details.php?id=55, https://sourceforge.net/projects/sarf/files/sarf/sarf%201.0/",Yes,"تطبيق ويب, مستندات ووثائق, ورقة بحثية","اللغة عربية, تحليل صرفي, معالجة اللغة الطبيعية, ويب"
Wojood - Nested Arabic NER,"Dataset, Machine learning, NLP, Python",MIT,https://github.com/SinaLab/ArabicNER,Wojood is a corpus for Arabic nested Named Entity Recognition (NER). Nested entities occur when one entity mention is embedded inside another entity mention.,Wojood عبارة عن مجموعة من النصوص للتعرف على الكيانات المسماة المتداخلة (NER) باللغة العربية. تحدث الكيانات المتداخلة عندما يتم تضمين ذكر كيان داخل ذكر كيان آخر.,نشط 🚀,https://sina.birzeit.edu/wojood/,Yes,"Model, مكتبة برمجية, ورقة بحثية","اللغة عربية, محررات نصوص"
alankaa,"Dataset, Machine learning, NLP",بدون ترخيص,https://alankaa.com/,Organize all modern Arabic dialects and make ties to the ancient ones.,تنظيم كافة اللهجات العربية الحديثة وربطها باللهجات القديمة.,نشط 🚀,https://alankaa.com/project/index.php,Yes,"تطبيق ويب, فريق مبادر, قاعدة بيانات, مستندات ووثائق","اللغة عربية, توثيقات, فهرس, قاعدة بيانات, معجم, مكتبة"
Qutrub,"NLP, Python",License,https://github.com/linuxscout/qutrub,Arabic verb conjugation software,تصريف الأفعال العربية,متوقف صيانته 😑,https://tahadz.com/homepage/ar/p/qutrub/,Yes,"Model, مكتبة برمجية","اللغة عربية, محررات نصوص"
Arabic Poem Generator,"Dataset, Jupyter Notebook, Python",MIT,https://github.com/hayderkharrufa/arabic_poem_generator,Generating Arabic poetry using Markov chains.,توليد الشعر العربي باستخدام سلاسل ماركوف.,ميت ☠️,"https://www.youtube.com/watch?v=Dnx6bE4Nwyo, https://www.kaggle.com/datasets/ahmedabelal/arabic-poetry",Yes,"Model, سكريبت برمجي","اللغة عربية, شعر"
Alif Type (حروف ألف),"Makefile, Python, SCSS, Tex","OFL, GPL, MIT",https://github.com/aliftype,"Alif Type is a type foundry founded by Khaled Hosny, and specializes in Arabic and mathematical typefaces.",«حروف ألف» هو مسبك حروف رقمي أسسه خالد حسني، ويتخصص في الخطوط العربية والرياضياتية.,نشط 🚀,https://aliftype.com/,Yes,"خط عربي, فريق مبادر, مجتمع, مكتبة برمجية","اللغة عربية, خط"
Khotot,خط (Font),GNU General Public License v2.0,https://gitlab.com/arabeyes-art/khotot,Khotot project aims at increasing the number of available Arabic free and open source fonts.,يهدف https://www.arabeyes.org/Khotot إلى بناء خطوط عربيّة حرّة مع دعم أفضل لخصائص القلم العربي، وتجميع الخطوط العربية الحرّة في مكان واحد.,ميت ☠️,"https://www.arabeyes.org/Khotot, https://www.arabeyes.org/%D8%AE%D8%B7%D9%88%D8%B7",Yes,"خط عربي, فريق مبادر","اللغة عربية, خط"
Nimra,خط (Font),OFL-1.1 License,https://github.com/aiaf/nimra,Nimra is a typeface with MICR Eastern Arabic numerals in the style of E13B,خط رقمي لأرقام MICR العربية على نمط E13B,ميت ☠️,https://makkuk.com/nimra/,Yes,خط عربي,"اللغة عربية, خط"
Cairo,"Makefile, Python, Shell",OFL-1.1 License,https://github.com/Gue3bara/Cairo,"Cairo is a contemporary Arabic and Latin typeface family. Extending the famous Latin typeface family Titillum Web to support the Arabic script, with a design that is based on the Kufi calligraphic style. Cairo balances classic and contemporary tastes with wide open counters and short ascenders and descenders that minimize length while maintaining easy readability. The lighter weights can be used for body text while the heavier weights are perfect for headlines and display typography. Each font includes stylistic ligatures and the Arabic component has a wide glyph set that supports the Arabic, Farsi and Urdu languages.",كايرو هو عائلة خطوط عربية لاتينية معاصرة، إمتداداً لعائلة الخطوط اللاتينية الشهيرة Titillum Web ليدعم اللغة العربية، بتصميم مبني على الخط الكوفي الكلاسيكي. خط كايرو يوازن بين الذوقين الكلاسيكي والمعاصر بمداور حروف مفتوحة وواسعة بين محددات عليا ودنيا قصيرة للحروف والتي تقلل من ارتفاع الحروف دون التأثير سلبا على المقروئية. الأوزان الخفيفة من الخط يمكن إستخدامها في كتابة متن المواضيع بينما الأوزان السميكة مناسبة أكثر للعناوين العريضة. خط كايرو يحوي مكتبة حروف غنية تدعم العربية، الأردو والفارسية وبمكتبة تشكيل كاملة ويصدر بستة أوزان مختلفة.,متوقف صيانته 😑,https://gaber.design/cairo-free-font-family,Yes,خط عربي,"اللغة عربية, خط"
